#           t           x
            0     3.48529
          0.2   -0.463521
          0.4    0.537486
          0.6   -0.688684
          0.8     1.24642
            1   -0.874203
          1.2     1.15425
          1.4    -1.75823
          1.6       1.572
          1.8     2.00432
            2    0.288611
          2.2     1.79222
          2.4    0.350259
          2.6   -0.260206
          2.8    0.640155
            3     1.13319
          3.2     2.72345
          3.4    0.850503
          3.6     1.31853
          3.8     1.25105
            4     3.06221
          4.2     1.47699
          4.4     2.35082
          4.6     2.29788
          4.8    0.154919
            5    0.977843
          5.2     1.49583
          5.4     2.53668
          5.6     2.84065
          5.8     2.34509
            6     1.55251
          6.2     1.57675
          6.4     1.95612
          6.6     3.54977
          6.8     2.53302
            7     1.42192
          7.2     3.73294
          7.4     1.32075
          7.6     2.81168
          7.8     2.63346
            8      3.0337
          8.2     1.57434
          8.4     2.35501
          8.6     2.65958
          8.8     2.86519
            9     2.30867
          9.2     1.51801
          9.4     3.60159
          9.6     3.80412
          9.8     1.74374
           10     2.10795
         10.2     3.94753
         10.4     1.57758
         10.6     4.02928
         10.8     2.32066
           11     3.49676
         11.2     4.39986
         11.4     4.15009
         11.6     4.12416
         11.8     4.29945
           12     3.46308
         12.2    0.933813
         12.4      3.2482
         12.6     4.00269
         12.8      3.2786
           13     3.81729
         13.2     3.34604
         13.4     3.16926
         13.6     4.98701
         13.8      4.9231
           14     5.38703
         14.2     5.10686
         14.4     4.36583
         14.6     2.76559
         14.8     2.98431
           15     5.90236
         15.2      5.3919
         15.4      3.7805
         15.6     3.69822
         15.8     5.25917
           16     3.34797
         16.2      5.4577
         16.4     7.29578
         16.6     5.99931
         16.8     4.96233
           17     6.81726
         17.2     6.50446
         17.4     3.89555
         17.6     6.57546
         17.8     4.86821
           18     4.21468
         18.2      6.2521
         18.4     5.92048
         18.6      6.5189
         18.8      6.9081
           19      4.6742
         19.2     6.37603
         19.4     5.29273
         19.6     5.86783
         19.8      6.7201
